,yc_url,company_name,batch,sector,one_liner,overall_signal,founder_worked_in_target_industry,founder_held_target_function,founder_has_prior_exit,founder_is_repeat_yc,founder_from_top_co,domain_relevance_score,has_technical_cofounder,has_commercial_cofounder,has_domain_expert,is_solo_founder,team_completeness_score,one_line_risk,one_line_strength,website,has_live_product,has_paying_customers,has_user_evidence,has_public_iteration,has_specific_user_problem,has_beachhead_segment,product_maturity_score,user_understanding_score,sources_with_evidence,strongest_evidence,biggest_product_gap
0,https://www.ycombinator.com/companies/zymbly,Zymbly,W26,Aviation/Aerospace,Automates admin for aircraft mechanics,STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,10.0,TRUE,TRUE,TRUE,FALSE,10.0,Highly regulated aviation industry may resist AI automation,Perfect founder-market fit with deep aviation maintenance expertise,https://www.zymbly.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,8,2,"Website has authentication flow, pricing page, and demo booking functionality indicating a live product with commercial intent.","No external user validation found - no reviews, testimonials, or third-party evidence that real aircraft mechanics are using the product."
1,https://www.ycombinator.com/companies/general-legal,General Legal,W26,Legal Tech,AI native law firm for growth stage companies,STRONG,TRUE,TRUE,TRUE,TRUE,FALSE,10.0,TRUE,TRUE,TRUE,FALSE,10.0,Competing against established BigLaw firms with deep client relationships,Perfect founder-market fit with legal expertise plus AI/tech background,https://general.legal,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,7,1,Website has pricing page and social proof indicating they are operating as a live law firm with paying clients.,No external user validation or evidence of product iteration despite claiming to be an AI-native service.
2,https://www.ycombinator.com/companies/mendral,Mendral,W26,DevOps/Infrastructure,AI DevOps Engineer that autonomously handles CI failures and delivery pipeline issues,STRONG,TRUE,TRUE,FALSE,TRUE,TRUE,10.0,TRUE,TRUE,TRUE,FALSE,10.0,Market may be crowded with DevOps automation tools,Founders literally built Docker and have deep DevOps expertise,https://mendral.com/,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,8,2,"Website has authentication flow, pricing page, and is not waitlist-only, indicating a live product with paying tiers.","No external user validation found - no reviews, ratings, or third-party evidence that real users are actively using the product."
3,https://www.ycombinator.com/companies/end-close,End Close,W26,Fintech,AI powered reconciliation for high-volume payments companies,STRONG,TRUE,TRUE,FALSE,TRUE,TRUE,10.0,TRUE,TRUE,TRUE,FALSE,10.0,Competing against established legacy providers with existing enterprise relationships,"CEO built exact product at Modern Treasury, processing $1T with 99.995% automation",https://endclose.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,8,1,"Company website shows auth flow, pricing page, and product documentation for transaction reconciliation automation.","No external user validation found - no reviews, testimonials, or third-party evidence of actual customers using the product."
4,https://www.ycombinator.com/companies/ndea-com,Ndea,W26,Artificial Intelligence,Building AGI that can innovate and accelerate scientific discovery,STRONG,TRUE,TRUE,TRUE,FALSE,TRUE,10.0,TRUE,TRUE,TRUE,FALSE,10.0,Extremely ambitious AGI timeline with massive technical and competitive risks,World-class AI expertise with Francois Chollet (Keras creator) leading technical vision,https://ndea.com,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,2,1,"Company website exists with clear mission statement about building AGI for scientific discovery, founded by notable AI researchers François Chollet and Mike Knoop.","No evidence of any built product, live system, or user validation - appears to be purely in concept/research stage with only a landing page."
5,https://www.ycombinator.com/companies/crosslayer-labs,Crosslayer Labs,W26,Cybersecurity,"Protect, monitor and defend your Internet presence",STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,10.0,TRUE,FALSE,TRUE,FALSE,7.0,Academic team may struggle with commercial execution and sales,World-class security expertise with proven impact on global internet standards,https://www.crosslayerlabs.com/,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,7,3,"Company has auth flow, pricing page, and active GitHub API library with recent commits, indicating a functional product.","No external user validation found - no reviews, ratings, or third-party evidence of actual customers using the product."
6,https://www.ycombinator.com/companies/martini,Martini,W26,Media/Entertainment,AI video production platform for professional filmmakers,STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/GTM expertise in competitive AI video space,Cannes-screened cinematographer building tools for his own industry,https://martini.film,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,7,2,"Website has authentication flow, pricing page, and claims '200+ Films Made' with professional AI video production platform.","No external user validation despite claims of 200+ films made - no reviews, ratings, or third-party evidence of actual users."
7,https://www.ycombinator.com/companies/condor-energy,Condor Energy,W26,Energy,AI-powered software for enterprise energy procurement optimization,STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Highly regulated energy market with complex compliance requirements,Deep domain expertise with former electricity trader and energy physicists,https://www.condor.energy,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,7,2,"Company website shows a live dashboard with authentication flow and pricing page, indicating an operational B2B SaaS product.",No external user validation or evidence of customer adoption despite having a live product with pricing.
8,https://www.ycombinator.com/companies/unifold,Unifold,W26,Fintech,Multi-chain deposit and payment infrastructure for crypto apps,STRONG,TRUE,TRUE,TRUE,FALSE,FALSE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Crypto market volatility and regulatory uncertainty could limit adoption,Strong crypto/fintech domain expertise with prior successful exit to MoonPay,https://unifold.io,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,7,2,"Company website shows auth flow, pricing page, and documentation indicating a live product with commercial offerings.","No external user validation found - no reviews, testimonials, or third-party evidence of actual customers using the product."
9,https://www.ycombinator.com/companies/origami-robotics,Origami Robotics,W26,Robotics,Building manipulate anything AI model with matching robotic hand hardware,STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Hardware manufacturing complexity and scaling data collection partnerships,Deep robotics expertise with novel approach to embodiment gap problem,https://www.origami-robotics.com,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,6,1,Company website has auth flow and mentions building infrastructure for general manipulation in robotics with specific focus on dexterous robotic hands.,"No evidence of a live product - only a waitlist signup and research content scheduled for Feb 2026, suggesting very early stage development."
10,https://www.ycombinator.com/companies/polymorph,Polymorph,W26,B2B,"Personalization infra that improves retention, LTV, and CAC",STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/GTM expertise in founding team,Deep ML/personalization expertise from Meta and Scale AI,https://usepolymorph.com/,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4,7,1,"Company website shows a live product with 'Try now' functionality and integration with major data platforms like PostHog, ClickHouse, Datadog, Amplitude, and Snowflake.","No external user validation, reviews, or evidence that anyone outside the company is actually using the personalization infrastructure product."
11,https://www.ycombinator.com/companies/spotpay,SpotPay,W26,Fintech,Stablecoin-powered global neobank for borderless payments,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Regulatory complexity across 40+ countries for crypto-based banking,Perfect founder-market fit with Google/Brex fintech expertise,https://www.spotpay.ai/,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,6,7,3,"Live mobile app with 19 user reviews averaging 4.26 stars on the App Store, demonstrating real user adoption.","No evidence of paying customers or revenue model despite being positioned as a neobank, with only a free app available."
12,https://www.ycombinator.com/companies/voygr,VOYGR,W26,B2B Software,Real-world place intelligence API for AI apps and agents,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Competing directly with Google's massive maps monopoly and resources,Perfect founder-market fit with Google Maps insider knowledge and top-tier ML expertise,https://voygr.tech,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,8,3,"Live product with auth flow and demo requests, plus active GitHub repo with developer tools and 81-point Hacker News launch with 60 comments showing community engagement.",No evidence of paying customers or pricing structure despite having a live product with apparent user interest.
